Stock,Current Price,Level,Level Type,Relation,Distance %,Price Above Level
BAJAJFINSV.NS,2010.9000244140625,2011,Resistance,Crossing,0.0,False
HEG.NS,514.3499755859375,514,Support,Crossing,0.07,True
MEDANTA.NS,1197.0999755859375,1196,Support,Crossing,0.09,True
APOLLOHOSP.NS,6923.0,6935,Resistance,Crossing,0.17,False
NESTLEIND.NS,2435.0,2441,Resistance,Crossing,0.25,False
PATANJALI.NS,1757.0999755859375,1752,Support,Crossing,0.29,True
KOTAKBANK.NS,2081.60009765625,2074,Support,Crossing,0.37,True
APTUS.NS,333.29998779296875,335,Resistance,Near,0.51,False
ABBOTINDIA.NS,30350.0,30196,Support,Near,0.51,True
GMRAIRPORT.NS,86.4800033569336,86,Support,Near,0.56,True
BPCL.NS,319.1499938964844,321,Resistance,Near,0.58,False
ASTRAZEN.NS,7918.5,7970,Resistance,Near,0.65,False
JSWSTEEL.NS,1006.2000122070312,1013,Resistance,Near,0.67,False
ASAHIINDIA.NS,765.4000244140625,771,Resistance,Near,0.73,False
INDUSTOWER.NS,391.25,388,Support,Near,0.84,True
INDHOTEL.NS,762.3499755859375,756,Support,Near,0.84,True
ULTRACEMCO.NS,11269.0,11364,Resistance,Near,0.84,False
CREDITACC.NS,1168.5999755859375,1179,Resistance,Near,0.88,False
HOMEFIRST.NS,1199.199951171875,1211,Resistance,Near,0.97,False
EICHERMOT.NS,5379.0,5324,Support,Near,1.03,True
SARDAEN.NS,437.20001220703125,442,Resistance,Near,1.09,False
SHYAMMETL.NS,870.3499755859375,880,Resistance,Near,1.1,False
LAURUSLABS.NS,614.5,622,Resistance,Near,1.21,False
SUNDARMFIN.NS,5099.0,5035,Support,Near,1.27,True
INDIANB.NS,601.0499877929688,609,Resistance,Near,1.31,False
TITAN.NS,3588.300048828125,3637,Resistance,Near,1.34,False
INDIANB.NS,601.0499877929688,593,Support,Near,1.36,True
AXISBANK.NS,1201.699951171875,1185,Support,Near,1.41,True
RAMCOCEM.NS,952.5999755859375,939,Support,Near,1.45,True
BANKINDIA.NS,119.20999908447266,121,Resistance,Near,1.48,False
